source,destination,length
1425480821,1425481000,388.62334916334123
1425480877,3965903039,75.07510315669644
1425480877,10100002984,176.0605631242363
1425480877,9913871521,275.3036341854174
1425480877,1425480948,152.08822021586866
1425480887,4832139050,132.65823702169828
1425480887,3945278376,287.41578350371657
1425480887,1425480959,162.32664958462902
1425480892,1425480996,149.74181379876916
1425480892,1425480802,317.53824856309114
1425480892,1425480979,176.02964065429776
1425480948,1425480877,152.08822021586866
1425480948,11846293385,66.37290815922304
1425480948,1425481019,120.32515632952534
1425480959,3965903042,142.48831636213296
1425480959,1425480887,162.32664958462902
1425480959,3965903045,178.1154326885578
1425480959,6910808857,427.73940095281785
1425480979,1425481000,30.060195914532965
1425480979,1425481040,270.843283733355
1425480979,1425480892,176.02964065429776
1425480996,1425481021,30.624866962310403
1425480996,1425481006,88.14688756651364
1425480996,1425480892,149.7418137987692
1425481000,6329884503,94.59223490644762
1425481000,1425480979,30.060195914532965
1425481000,1425480821,388.62334916334123
1425481006,1425481034,79.09211841946691
1425481006,11846293385,44.85787624214227
1425481006,1425480996,88.14688756651364
1425481019,1425481036,109.84222861980949
1425481019,1425481037,76.56754368948141
1425481019,1425480948,120.32515632952536
1425481021,1425480996,30.624866962310403
1425481034,1425481006,79.09211841946691
1425481034,1425481036,42.66255221915861
1425481034,1425481040,236.88055822048028
1425481036,1425481019,109.84222861980949
1425481036,1425481034,42.66255221915861
1425481036,6475058832,65.34864950933523
1425481037,1425481019,76.56754368948141
1425481038,6475058832,19.067594531325977
1425481040,1425481034,236.88055822048028
1425481040,11846080026,121.86416810533372
1425481040,1425480979,270.843283733355
1425481041,3896593360,83.7629718505445
1425481041,1425481105,358.88261164950114
1425481041,9186839558,265.8382068737365
1425481041,3896593370,183.23697449036942
1425481090,1428104568,1.5022293710911006
1425481105,1425481041,358.8826116495011
1425481105,1425481110,38.12729818732401
1425481105,1425481106,33.60578855756811
1425481106,1425481110,57.25569040182512
1425481106,1425481105,33.60578855756811
1425481106,6330231548,49.444861802935655
1425481110,1425481115,383.8166939379921
1425481110,1425481105,38.127298187324016
1425481110,1425481106,57.25569040182512
1425481115,6474552739,87.82325992294352
1425481115,6474552736,181.88196346786873
1425481115,1425481110,383.8166939379921
1425481126,3832525525,18.917747813482002
1425481131,3436455362,139.95253798745293
1425481149,3436454114,19.101332968268416
1425481149,3436455642,89.01656151926056
1425481149,12095228112,171.1236528582793
1425481189,1425481206,67.9271901888822
1425481199,1425481224,65.17761458250034
1425481206,1425481224,52.003014845488465
1425481206,1425481214,45.016417379434465
1425481206,1425481189,67.9271901888822
1425481213,1425481226,62.143219752235424
1425481214,1425481228,51.957391462865715
1425481214,1425481206,45.016417379434465
1425481214,1425481235,69.54091562575849
1425481224,1425481199,65.17761458250034
1425481224,1425481226,22.649967646129785
1425481224,1425481206,52.003014845488465
1425481226,1425481213,62.143219752235424
1425481226,1425481256,45.66140694642829
1425481226,1425481224,22.649967646129785
1425481228,1425481254,70.1572707907474
1425481228,1425481214,51.957391462865715
1425481228,1425481240,19.74374654270391
1425481230,3436455639,116.71151126723251
1425481230,1425481242,47.52170715750838
1425481230,4833943620,86.745325877166
1425481230,4833930797,139.67395226605362
1425481235,1425481254,52.5016626959489
1425481235,1425481252,48.177197146146625
1425481235,1425481214,69.54091562575849
1425481240,1425481268,70.50289172079972
1425481240,1425481228,19.74374654270391
1425481240,1425481280,48.02382564028625
1425481242,1425481276,53.530086051348356
1425481242,1425481230,47.52170715750838
1425481242,1425481256,22.434993361926196
1425481252,1425481279,50.54933688961878
1425481252,1425481235,48.177197146146625
1425481252,1425481288,67.17128909875069
1425481254,1425481228,70.1572707907474
1425481254,1425481235,52.5016626959489
1425481254,1425481268,20.148637668310297
1425481256,1425481226,45.66140694642829
1425481256,1425481242,22.434993361926196
1425481256,1425481280,45.16530116885876
1425481268,1425481240,70.50289172079972
